NOMBRE
España
Reino Unido
Rusia
Polonia
Holanda
Portugal
Grecia
China
India
Japón
Corea del Sur
Indonesia
Tailandia
Turquía
Malasia
Filipinas
Vietnam
Egipto
Sudáfrica
Nigeria
Etiopía
República Democrática del Congo
Tanzania
Kenia
Argelia
Marruecos
Sudán
Australia
Nueva Zelanda
Papúa Nueva Guinea
Islas Salomón
Fiyi
Vanuatu
Islas Marshall
Islas Marianas del Norte
Islas Cook
Samoa
Jamaica
Haití
Belize
San Cristóbal y Nieves
Surinam
Guayana Francesa
Falkland
Estados Unidos
Canadá
México
Guatemala
El Salvador
Honduras
Nicaragua
Costa Rica
Panamá
República Dominicana
Brasil
Argentina
Colombia
Perú
Venezuela
Chile
Ecuador
Bolivia
Paraguay
Uruguay
Bélgica
Suiza
Irlanda
Dinamarca
Suecia
Irán
Emiratos Árabes Unidos
Singapur
Arabia Saudita
Afganistán
Uganda
Mozambique
Túnez
Angola
Mali
Islas Tokelau
Islas Pitcairn
Islas Niue
Islas Cocos
Antártida
Cuba
